filename,pre_lufs,post_lufs,pre_tp_db,post_tp_db,gain_db,limiter_gr_db,resampled,status,duration_s,channels
Calm Piano Riff with Orchestra.wav,-17.71,-27.0,-4.13,-13.41,-9.29,0.0,No,PASS,174.04,2
Calm ambient piano.wav,-16.15,-27.0,-2.56,-13.42,-10.85,0.0,No,PASS,152.96,2
Cinematic Atmospheric Piano.wav,-11.29,-27.0,-2.45,-18.16,-15.71,0.0,No,PASS,181.96,2
Cinematic Piano Movie Music.wav,-16.32,-27.0,-3.54,-14.22,-10.68,0.0,No,PASS,68.16,2
Cinematic Piano.wav,-14.27,-26.99,-2.45,-15.18,-12.73,0.0,No,PASS,116.2,2
Cinematic.wav,-16.26,-27.0,-3.03,-13.77,-10.74,0.0,No,PASS,149.16,2
Deep Drone Dramatic.wav,-12.35,-27.0,-2.43,-17.08,-14.65,0.0,No,PASS,154.6,2
Deep Subby Drone.wav,-14.16,-27.0,-3.06,-15.9,-12.84,0.0,No,PASS,141.72,2
Dramatic Discovery Awe Piano.wav,-15.49,-27.0,-3.35,-14.86,-11.51,0.0,No,PASS,147.92,2
Drone Drama.wav,-16.66,-26.99,-2.41,-12.75,-10.34,0.0,No,PASS,162.96,2
Emotional Stinger.wav,-17.44,-27.0,-3.82,-13.38,-9.56,0.0,No,PASS,24.6,2
Emotional Underscores {Beds} Loopable.wav,-16.63,-27.0,-4.66,-15.03,-10.37,0.0,No,PASS,79.92,2
Fast-Pace Dramatic Piano.wav,-16.58,-27.0,-4.61,-15.02,-10.42,0.0,No,PASS,69.72,2
Fast-Paced Dramatic Piano.wav,-14.79,-27.0,-2.63,-14.84,-12.21,0.0,No,PASS,122.0,2
Flute Loopable Underscores {Beds}.wav,-15.32,-27.0,-4.3,-15.98,-11.68,0.0,No,PASS,104.96,2
Intro {serious piano}.wav,-16.5,-27.0,-3.22,-13.72,-10.5,0.0,No,PASS,137.56,2
Intro.wav,-15.54,-27.0,-3.41,-14.87,-11.46,0.0,No,PASS,132.24,2
Low To High Drone.wav,-18.59,-27.0,-4.01,-12.42,-8.41,0.0,No,PASS,65.0,2
Lows To Triumph.wav,-17.24,-27.0,-5.3,-15.06,-9.76,0.0,No,PASS,56.08,2
Medium-Fast Paced Strings and Piano.wav,-13.49,-27.0,-3.78,-17.29,-13.51,0.0,No,PASS,154.84,2
Mid-Fast Pacing Piano.wav,-17.0,-27.0,-3.12,-13.13,-10.0,0.0,No,PASS,110.44,2
Piano Mystery Violin.wav,-14.83,-27.0,-3.54,-15.71,-12.17,0.0,No,PASS,144.92,2
Piano Underscores Bed {Loop}.wav,-15.96,-27.0,-2.98,-14.02,-11.04,0.0,No,PASS,131.96,2
Segments 2.wav,-16.63,-27.0,-4.15,-14.52,-10.37,0.0,No,PASS,161.64,2
Segments 3.wav,-15.68,-27.0,-3.81,-15.13,-11.32,0.0,No,PASS,95.52,2
Segments.wav,-16.01,-27.0,-3.73,-14.72,-10.99,0.0,No,PASS,133.32,2
Slow-paced violin.wav,-15.15,-27.0,-2.63,-14.48,-11.85,0.0,No,PASS,166.0,2
Slower-mid Pretty Pacing Piano.wav,-22.39,-27.0,-7.29,-11.9,-4.61,0.0,No,PASS,73.12,2
Spooky Stakes Piano.wav,-16.62,-27.0,-2.89,-13.26,-10.38,0.0,No,PASS,76.96,2
Upbeat Fast Piano.wav,-18.79,-27.0,-5.92,-14.13,-8.21,0.0,No,PASS,59.96,2
Upbeat Piano.wav,-16.68,-27.0,-2.72,-13.04,-10.32,0.0,No,PASS,112.92,2
beach.wav,-15.16,-27.0,-3.61,-15.44,-11.84,0.0,No,PASS,170.72,2
chill 2.wav,-13.4,-27.0,-3.09,-16.69,-13.6,0.0,No,PASS,127.2,2
chill.wav,-14.46,-27.0,-2.75,-15.28,-12.54,0.0,No,PASS,98.44,2
epic legacy theme.wav,-18.04,-27.0,-5.06,-14.02,-8.96,0.0,No,PASS,79.32,2
humble reflection.wav,-17.37,-27.0,-4.36,-13.99,-9.63,0.0,No,PASS,161.28,2
violin synth.wav,-16.03,-27.0,-4.9,-15.87,-10.97,0.0,No,PASS,135.32,2
